how's your mother?	hur mår din mor?
tom bought eggs, but he forgot to buy bread.	tom köpte ägg, men han glömde att köpa bröd.
give tom some room.	ge tom lite utrymme.
i didn't have to go.	jag behövde inte åka.
i can't imagine you ever doing that.	jag kan inte tro att du någonsin skulle göra det.
tom was my hero.	tom var min hjälte.
have you been to boston?	har du varit i boston?
that sailing ship is a three-master.	den skutan är en tremastare.
are you two musicians?	är ni två musiker?
your hair is too long.	ditt hår är för långt.
where's everyone?	var är allihopa?
are you bilingual?	är du tvåspråkig?
in the village there are no thieves.	i byn finns inga tjuvar.
may i ask a question?	får jag ställa en fråga?
i'll eat the apple.	jag ska äta äpplet.
try on that shirt.	prova den där skjortan.
the girl entered the room.	flickan gick in i rummet.
they got a big one.	de fick en stor en.
what's the name of your dog?	vad heter er hund?
life could be a dream.	livet kunde vara en dröm.
did the plane crash?	störtade planet?
it's insanely hot today.	det är galet varmt idag.
tom wants to play.	tom vill spela.
are you sane?	är ni vid era sinnens fulla bruk?
i need to cancel my subscription.	jag måste säga upp min prenumeration.
not words but action is needed now.	nu behövs inte bara ord, utan också handling.
good morning. it's time to wake up.	gomorron. dags att vakna.
our teacher tried to use a new method of teaching english.	vår lärare försökte att använda en ny metod för att lära ut engelska.
worrying deprived me of sleep last night.	oro gjorde mig sömnlös igår natt.
this is an order.	det här är en order.
i know you want to talk to him.	jag vet att du vill prata med honom.
it took exactly an hour.	det tog exakt en timme.
they had an accident.	de råkade ut för en olycka.
i'll get you a gun.	jag ska hämta en pistol åt dig.
will you wait for us at the station?	väntar du på oss vid stationen?
we can rely on tom.	vi kan lita på tom.
i love cabbage!	jag älskar kål!
they've been very nice to me.	de har varit väldigt snälla mot mig.
why don't we break off for a while and have some coffee?	ska vi inte pausa en stund och dricka lite kaffe?
he suddenly stopped.	han stannade till plötsligt.
be tolerant.	var toleranta.
tom wished he hadn't done what he did.	tom önskade att han inte hade gjort det han gjorde.
we're missing some of our reports.	vi saknar några av våra rapporter.
tom is autistic.	tom är autistisk.
it's hard.	det är hårt.
can you save them?	kan ni rädda dem?
i need a cigarette.	jag behöver en cigarett.
tom is greedy.	tom är glupsk.
it was almost like a dream.	det var nästan som en dröm.
the captain is weighing anchor.	kaptenen lättar ankar.
the hostages will be released tomorrow.	gisslan kommer att släppas i morgon.
he's the only one i love.	jag älskar bara honom.
do you still hate french?	hatar du fortfarande franska?
"there aren't any german-language books here." "but we're in the middle of berlin!"	"det finns inga tyskspråkiga böcker här." "men vi är mitt i berlin!
sami was still in love with layla.	sami älskade fortfarande layla.
where did he read that?	var läste han det?
i want to get in touch with her.	jag vill komma i kontakt med henne.
tom's desperate.	tom är desperat.
the drought damaged all the crops there.	torkan skadade alla skördor där.
i deleted it.	jag tog bort den.
we have thirty employees.	vi har trettio anställda.
everybody was anxious.	alla var ängsliga.
tom doesn't usually do that alone.	tom brukar inte göra det själv.
they're singing acapella.	de sjunger a cappella.
tom has stolen things from us.	tom har stulit saker från oss.
do you know how it's spelled?	vet ni hur det stavas?
i had some trouble.	jag hade lite problem.
i have to go to the toilet.	jag måste gå på toaletten.
do what you want.	gör vad du vill.
mary is an art restorer.	mary är en konstkonservator.
the school gate is closed.	skolporten är stängd.
i went as far as london by car.	jag åkte ända till london med bil.
has tom been fired yet?	har tom fått sparken än?
we don't have time to debate.	vi har inte tid för att debattera.
i'm really concerned about your future.	jag är riktigt oroad över din framtid.
someone lost a wallet.	någon tappade sin plånbok.
i'm not kurdish.	jag är inte kurd.
would you like to dance with me?	skulle du vilja dansa med mig?
when did you move to algeria?	när flyttade du till algeriet?
i have been studying english for four years.	jag har studerat engelska i fyra år.
i'll go get changed.	jag går och byter om.
tom didn't seem surprised at all.	tom verkade inte överraskad alls.
i went to italy for the second time in 1980.	jag åkte till italien för andra gången 1980.
have a wonderful evening.	ha en underbar kväll.
the colloquial sentences added to tatoeba seem to be of great help to immigrants who are trying to understand why language lessons teach an entirely different language than the one that people actually speak.	de talspråkliga meningar som lagts till i tatoeba lär vara till stor hjälp för invandrare som försöker förstå varför man lär ut ett helt annat språk på språklektionerna än det som folk egentligen talar.
jane is fat and rude, and smokes too much. however, ken thinks she's lovely and charming. that's why they say love is blind.	jane är fet, ohövlig och röker för mycket. men ken tycker att hon är förtjusande och härlig. det är därför de säger att kärleken är blind.
i am tired so go and bother someone else.	jag är trött, så stick iväg och stör någon annan.
he does not get up early.	han stiger inte upp tidigt.
i do need your help.	jag behöver verkligen din hjälp.
there's a bus stop here.	det finns en busshållplats här.
i'm singing.	jag sjunger.
he did his duty.	han gjorde sin plikt.
i need paper.	jag behöver papper.
is today monday?	är det måndag idag?
everyone's waiting.	alla står och väntar.
tom won't be ready.	tom kommer inte att vara färdig.
can i join you?	kan jag komma med dig?
tom needs a favor.	tom behöver en tjänst.
he unloaded the car.	han lastade ur bilen.
i think that tom feels the same way.	jag tror att tom känner likadant.
i thanked her.	jag tackade henne.
i'll wait here.	jag väntar här.
what was i looking for?	vad letade jag efter?
would you like some more gravy?	vill du ha lite mer sås?
we must finish this work at any cost.	vi måste avsluta det här arbetet till varje pris.
we asked him what he was called.	vi frågade honom vad han hette.
tom left the water on.	tom lämnade vattnet på.
tom bought it.	tom köpte det.
you seemed happy here.	du verkade lycklig här.
tom seldom eats fruit.	tom äter sällan frukt.
i hated it at first.	jag hatade det först.
may i see your license?	får jag se ditt körkort?
hard to believe, but that's the way it is.	svårt att tro, men så är det.
how do you say 'pine cones' in your native language?	hur säger man "tallkottar" på ditt modersmål?
john sits by jack.	john sitter vid jack.
ten divided by two is five.	tio delat på två är fem.
this is my car.	detta är min bil.
christ is risen!	kristus är uppstånden!
does tom enjoy it?	njuter tom av det?
we're going to find a cure.	vi ska hitta ett botemedel.
a man is reading a newspaper.	en man läser en tidning.
isn't that right, tom?	stämmer inte det, tom?
did someone say my name?	sa någon mitt namn?
mary is meticulous.	mary är mycket noggrann.
i'd like to know why tom and mary aren't helping us.	jag skulle vilja veta varför tom och mary hjälper oss inte.
i am going to paris this weekend.	jag ska till paris i helgen.
the restaurant was very clean.	restaurangen var väldigt ren.
there are more than 4000 languages in the world.	det finns mer än 4000 språk i världen.
i'll check in the basement.	jag kollar i källaren.
while he was talking, there was the sound of a shot being fired.	medan han pratade hördes ljudet av ett skott som avlossades.
don't let tom stay there.	låt inte tom stanna där.
tom didn't like the teacher.	tom gillade inte läraren.
i don't like powdered sugar.	jag tycker inte om florsocker.
give me the tickets.	ge mig biljetterna.
i walk like a penguin.	jag går som en pingvin.
tom took his hat off.	tom tog av sig hatten.
i need a girlfriend.	jag behöver en flickvän.
i don't like this song.	jag gillar inte denna låt.
i wouldn't mind going to the cinema.	jag skulle inte ha någonting emot att gå på bio.
i like that shirt.	jag gillar den där tröjan.
i get really bad performance anxiety before i give a speech.	jag får svår prestationsångest före jag ska hålla ett tal.
the garden hose is frozen.	trädgårdsslangen är frusen.
does he understand hungarian?	förstår han ungerska?
a dog was running.	en hund sprang.
i think i'll shave my head.	jag tror att jag ska raka huvudet.
give me a ride.	ge mig skjuts.
he's never satisfied.	han är aldrig nöjd.
no one knows everything.	ingen vet allt.
can he speak english?	kan han tala engelska?
he's qualified.	han är kvalificerad.
"i had a strange dream." "what was it about?"	”jag hade en konstig dröm.” ”vad var det för dröm?”
tom has dyed his hair yellow.	tom har färgat håret gult.
i'm a happy man.	jag är en lycklig man.
a man whose wife is dead is called a widower.	en man vars fru är död kallas för en änkling.
the titanic sank in 1912.	titanic sjönk år 1912.
it was tom that did that.	det var tom som gjorde det.
the ring is loose.	ringen sitter löst.
we ran into them at the bus terminal.	vi stötte på dem vid bussterminalen.
we're against war.	vi är emot krig.
i've never seen so many good-looking men in one place.	jag har aldrig sett så många stiliga män på ett ställe.
you are only young once.	du är bara ung en gång.
it's on your desk.	den ligger på ditt bord.
tom fell down from the horse's back.	tom föll ner från hästryggen.
did you visit him?	besökte ni honom?
she can speak russian.	hon kan tala ryska.
